object_id,raj2000,dej2000,uv,vg,gr,ri,iz
103118,315.993384,-31.308452,-0.10700035,-0.15200043,-0.22100067,-0.41799927,-0.35099983
139879,315.891347,-28.37517,-0.062999725,-0.29100037,-0.18599892,-0.43400002,-0.17000008
215597,321.398407,-30.390226,-0.022001266,0.0020008087,-0.2539997,-0.40600014,-0.33399963
395470,329.464061,-36.660455,0.31400108,0.027999878,-0.26399994,-0.4980011,-0.18300056
678924,318.179749,-21.154258,-0.036001205,-0.32799911,-0.27600098,-0.5059986,-0.09300041
682138,318.512973,-20.858968,-0.069000244,-0.00399971,-0.29999924,-0.6399994,0.073999405
745047,322.509421,-23.990518,-0.09299946,-0.020999908,-0.27900124,-0.43699837,-0.31400108
806345,325.256005,-28.471947,-0.125,-0.30200005,-0.29299927,-0.5,-0.38699913
929010,323.860679,-24.708812,-0.06800079,-0.23500061,-0.26599884,-0.6569996,-0.072999954
956547,327.631444,-25.644279,-0.058000565,-0.20899963,-0.23500061,-0.4489994,-0.2880001
1108318,336.985369,-42.006802,0.12100029,0.25900078,-0.13800049,-0.4619999,0.059000015
1258471,339.207927,-35.23433,-0.11800003,-0.20200062,-0.29999924,-0.4499998,-0.34000015
1336912,349.302899,-42.985015,-0.12000084,-0.22100067,-0.1630001,-0.5819988,-0.23200035
1348903,346.615977,-42.212582,-0.034999847,0.041000366,-0.24300003,-0.41200066,-0.26199913
1352797,348.87662,-42.3925,-0.027000427,-0.17700005,-0.29800034,-0.40099907,-0.22700119
1377102,353.163211,-44.129862,-0.031999588,0.04099846,-0.18699837,-0.47300148,-0.11499977
1390549,359.740494,-44.953753,-0.03999996,0.1800003,-0.23900032,-0.40499973,-0.25199986
1436147,349.255947,-38.691719,-0.076999664,-0.3260002,-0.28499985,-0.4259987,-0.19799995
1472475,352.014567,-38.256825,-0.11199951,-0.46299934,-0.2709999,-0.55200005,-0.24900055
1517391,356.019224,-38.093448,-0.027999878,-0.041000366,-0.18700027,-0.5039997,-0.0030002594
1562766,335.958291,-32.630855,-0.005001068,-0.078998566,-0.29100037,-0.41699982,-0.26399994
1584801,334.732259,-31.548361,-0.16200066,0.0080013275,-0.10500145,-0.45399857,-0.046001434
1633420,340.112193,-33.692231,-0.017999649,-0.5189991,-0.23999977,-0.45400047,-0.45400047
1779195,336.586552,-25.197263,-0.17100143,0.09800148,-0.25400162,-0.48999977,-0.062999725
1797571,339.631532,-28.736357,-0.08200073,-0.09300041,-0.08600044,-0.5149994,-0.51799965
2067598,346.209373,-26.96847,0.09499931,0.27900124,-0.17099953,-0.42300034,-0.17300034
2068895,347.218214,-27.174782,0.09399986,0.15299988,-0.24699974,-0.41800117,-0.25899887
2168280,358.096663,-28.054602,0.032999992,0.14500046,-0.22500038,-0.408,-0.2880001
2331575,320.983816,-19.014797,0.015999794,-0.16699982,-0.27400017,-0.44699955,-0.30800056
2395712,315.072488,-14.190161,-0.1060009,-0.12199974,-0.21299934,-0.48900032,-0.3619995
2527827,319.287458,-13.998074,-0.13500023,0.4319992,-0.25,-0.6019993,0.074998856
2528503,319.830298,-14.710861,0.5760002,0.059999466,-0.15600014,-0.6229992,0.18499947
2566887,322.261639,-13.966463,-0.012999535,-0.10700035,-0.28699875,-0.41900063,-0.31699944
2598443,320.856107,-11.811203,-0.031000137,-0.20099926,-0.27400017,-0.467,-0.23600006
2708600,324.865747,-17.296004,0.93499947,0.21700096,-0.028999329,-0.6140003,0.31099892
2738218,327.623742,-17.814021,-0.14100075,-0.39500046,-0.29299927,-0.4869995,-0.30000114
2751416,328.197723,-21.411204,-9.994507E-4,0.33300018,-0.11100006,-0.4619999,-0.14800072
2781798,331.02798,-20.985825,-0.069999695,-0.16400051,-0.29700089,-0.43299866,-0.31400108
2903784,323.805614,-13.556274,-0.014000893,-0.13699913,-0.28600025,-0.42800045,-0.31799984
2996742,332.049175,-16.96813,0.34399986,0.24200058,-0.018001556,-0.40399933,-0.47800064
