object_id,raj2000,dej2000,uv,vg,gr,ri,iz
16807613,103.801856,-36.119398,0.61800003,1.2390003,-0.54800034,3.4350004,1.9099998
13509457,73.725204,-20.585122,0.42199993,1.1389999,-0.065999985,0.09700012,-0.010000229
295216505,273.793375,-45.364179,0.50500107,1.144,-0.2119999,0.29699993,-0.0720005
174181213,301.905725,-2.451634,0.4130001,1.71,-0.42199993,2.7489996,1.8830004
2615542,322.347881,-12.859554,0.15100098,1.4090004,-0.009000778,0.22500038,0.041999817
164126476,289.117571,-9.043505,0.36499977,1.2539997,-0.75099945,-0.76100063,0.38400078
165438022,293.363918,-7.229469,0.7709999,1.0060005,-0.18200016,0.26799965,0.24300003
134382525,289.100872,-25.474655,0.38699913,1.0230007,-0.027999878,0.002998352,-0.038999557
134685361,290.869219,-27.358336,0.5060005,1.1919994,-0.026999474,0.123000145,-0.25
288198481,108.255657,-62.298134,0.5759983,1.177001,-0.46500015,0.41800022,-0.20900059
316657512,61.16579,-57.930525,0.3239994,1.0220003,-0.22100067,0.0,0.062000275
315451904,52.861835,-60.850612,0.25999832,1.0360012,-0.07999992,0.11399937,-0.09299946
288220951,107.742326,-63.181624,-0.5020008,1.9150009,-0.057001114,0.23900032,-0.03600025
2142711,353.865999,-29.092613,0.75300026,1.0470009,-0.18400002,-0.08300018,0.1969986
6015196,0.658222,-43.367806,0.47999954,1.1710005,-0.07600021,-0.04600048,-0.16799927
280078809,160.52489,-68.498513,0.28100014,1.0439987,-0.10199928,0.77000046,-0.03900051
279043360,172.17063,-70.335544,0.7989998,1.106,-0.036999702,0.21500015,-0.0089998245
286375018,132.258377,-73.533311,0.33599854,1.2290001,-0.02199936,0.24399948,-0.0069999695
286338638,134.646073,-73.636987,0.42199898,1.6140003,-0.047999382,0.24699974,-0.045000076
286338675,134.625191,-73.664319,0.22699928,1.5370007,-0.17399979,0.29699898,-0.070999146
286351585,133.564318,-73.63214,0.009000778,1.8050003,-0.038000107,0.19299889,0.12400055
286340237,134.100097,-73.547621,0.60300064,1.0249996,-0.010000229,0.18700027,0.08899975
286337045,135.690338,-73.713481,0.37999916,1.7290001,-0.066999435,0.28899956,0.045000076
286358568,134.234494,-72.947463,0.2559986,1.7260017,-0.21700096,0.3050003,0.08899975
