# Plate, MJD, Fiber

4701, 55709, 265
4895, 55708, 255
5973, 56067, 500
5773, 56009, 378
5864, 56047, 330
4642, 55926, 146
3663, 55176, 174
5347, 56008, 40
4228, 55484, 96
5422, 55986, 318
4751, 55646, 412
5403, 55979, 258
4955, 55750, 378
4892, 55738, 506
4786, 55651, 694
4007, 55327, 200
6017, 56075, 904
4229, 55501, 826
5893, 56034, 360
5194, 56062, 440
4886, 55737, 514
4639, 55944, 186
5389, 55953, 458
5460, 56000, 866
4572, 55622, 108
3816, 55272, 614
5380, 55980, 346
4229, 55501, 424
5373, 56010, 38
5783, 56017, 162
3861, 55274, 288
5396, 55947, 818
4629, 55630, 208
5875, 56038, 502
4749, 55633, 686
4175, 55680, 578
3972, 55589, 642
5890, 56037, 206
4772, 55654, 130
4034, 55635, 694
3816, 55272, 549
3763, 55508, 164
5141, 55746, 854
4558, 55569, 95
4469, 55863, 380
5404, 56013, 534
5896, 56047, 352
3971, 55322, 82
3879, 55244, 20
5444, 56038, 740
4787, 55863, 432
6014, 56072, 156
5848, 56029, 48
4893, 55709, 708
3757, 55508, 856
4414, 55882, 522
4705, 55705, 818
5892, 56035, 72
3789, 55269, 628
5020, 55852, 748
5998, 56087, 140
5207, 56018, 308
4725, 55711, 908
6010, 56097, 752
4302, 55531, 906
6029, 56099, 164
4029, 55618, 64
5382, 55982, 15
4784, 55677, 918
4618, 55600, 170
4604, 55983, 228
4653, 55622, 690
5404, 56013, 546
5471, 56034, 812
4544, 55855, 820
4616, 55617, 873
4648, 55673, 830
4082, 55367, 594
5337, 55987, 614
4620, 55652, 176
4966, 55712, 264
5405, 56010, 28
5890, 56037, 806
4616, 55617, 666
4281, 55836, 574
5860, 56046, 968
5430, 56000, 780
4452, 55536, 92
5315, 55978, 256
6008, 56093, 842
4702, 55618, 140
3615, 55179, 228
3692, 55186, 802
4705, 55705, 518
4570, 55623, 420
4797, 55662, 574
5998, 56087, 806
6004, 56066, 146
4029, 55618, 236
4036, 55330, 598
5863, 56042, 388
4732, 55648, 364
5495, 55896, 466
5408, 56038, 196
6047, 56098, 464
4859, 55684, 584
5412, 55981, 663
5472, 55976, 644
5361, 55973, 644
5985, 56089, 790
4183, 55447, 533
5775, 56009, 98
4748, 55631, 154
5464, 56035, 536
3975, 55321, 890
4187, 55693, 738
5473, 56033, 574
3656, 55241, 456
4443, 55539, 960
5856, 56090, 390
5469, 56037, 689
3862, 55276, 430
5891, 56034, 770
5396, 55947, 626
3982, 55332, 484
4661, 55614, 186
5345, 56010, 376
5171, 56038, 70
5295, 55978, 98
3671, 55483, 946
4768, 55944, 124
4461, 55888, 936
6001, 56072, 22
4708, 55704, 148
5383, 56013, 970
4280, 55503, 241
4570, 55623, 536
4495, 55566, 226
6061, 56076, 858
5396, 55947, 898
3833, 55290, 977
4973, 56042, 884
5474, 56036, 152
5956, 56104, 237
5895, 56046, 250
3870, 55273, 596
3587, 55182, 570
4562, 55570, 836
5341, 55931, 582
5326, 56002, 370
5466, 56033, 738
4236, 55479, 194
4640, 55927, 924
4020, 55332, 632
4732, 55648, 593
3927, 55333, 264
6001, 56072, 854
4970, 56039, 869
5438, 56002, 72
6039, 56099, 38
4764, 55646, 244
5380, 55980, 102
4969, 56041, 906
5138, 55830, 574
5872, 56027, 666
4038, 55363, 796
4749, 55633, 472
4559, 55597, 470
4233, 55449, 6
4212, 55447, 456
4630, 55623, 300
3792, 55212, 914
3874, 55280, 418
5013, 55723, 806
4642, 55926, 126
4778, 55706, 144
4051, 55337, 872
3868, 55360, 300
5332, 55981, 508
4201, 55443, 550
3806, 55505, 754
3822, 55544, 914
4855, 55926, 200
5382, 55982, 372
5196, 55831, 292
3762, 55507, 764
5207, 56018, 258
6008, 56093, 876
5868, 56045, 326
5741, 55980, 764
4798, 55672, 142
4722, 55735, 627
5404, 56013, 310
5179, 55957, 302
5360, 55983, 772
4242, 55476, 657
3809, 55533, 20
4222, 55444, 776
4482, 55617, 854
5876, 56042, 608
5994, 56101, 184
4637, 55616, 608
3831, 55543, 9
5200, 56091, 144
6039, 56099, 34
5399, 55956, 498
3826, 55563, 542
3832, 55289, 538
5296, 55922, 54
5163, 55889, 358
4040, 55605, 14
5435, 55982, 136
3966, 55571, 862
4765, 55674, 228
4205, 55454, 458
5990, 56066, 784
6043, 56096, 666
5362, 56017, 468
4733, 55649, 198
5887, 56035, 640
5408, 56038, 212
3647, 55827, 34
5971, 56064, 348
5392, 56010, 772
6008, 56093, 834
4174, 55659, 358
4839, 55703, 442
5464, 56035, 780
3941, 55321, 270
4608, 55973, 612
3792, 55212, 849
5768, 56017, 936
4195, 55452, 348
3651, 55247, 440
4701, 55709, 108
5203, 56034, 228
4204, 55470, 258
3870, 55273, 28
4725, 55711, 676
4603, 55999, 900
5141, 55746, 437
4851, 55680, 776
4835, 56016, 738
3971, 55322, 196
4223, 55451, 72
3831, 55543, 994
3839, 55575, 844
5422, 55986, 840
4983, 55836, 194
5411, 55953, 245
4652, 55672, 33
4618, 55600, 674
6046, 56096, 976
5773, 56009, 194
5321, 55945, 340
3870, 55273, 820
3757, 55508, 440
4215, 55471, 358
4998, 55722, 384
4742, 55660, 740
4216, 55477, 394
5009, 55707, 388
4206, 55471, 905
6063, 56098, 438
5891, 56034, 306
3857, 55272, 464
5289, 55893, 616
5212, 56016, 348
5042, 55856, 336
4229, 55501, 224
4683, 55924, 234
4037, 55631, 546
4241, 55450, 514
5374, 55947, 326
4012, 55327, 962
4231, 55444, 481
6037, 56106, 502
4572, 55622, 416
6006, 56105, 342
5408, 56038, 166
5474, 56036, 486
4050, 55599, 424
4530, 55564, 300
5316, 55955, 799
4626, 55647, 434
4227, 55481, 362
4350, 55556, 602
4479, 55592, 824
5446, 56014, 346
5144, 55829, 122
5719, 56014, 142
5284, 55866, 892
4227, 55481, 182
6002, 56104, 132
3966, 55571, 88
5893, 56034, 310
3836, 55302, 764
4881, 55733, 22
6008, 56093, 594
5996, 56096, 784
4448, 55538, 756
4956, 55737, 689
4061, 55362, 552
5188, 55803, 87
4635, 55615, 762
3679, 55209, 490
4052, 55600, 494
4226, 55475, 190
3833, 55290, 38
4719, 55736, 994
4485, 55836, 392
5884, 56046, 788
5202, 55824, 384
3838, 55588, 554
5339, 55922, 551
5396, 55947, 784
5366, 55958, 680
3590, 55201, 90
4469, 55863, 200
5366, 55958, 358
3818, 55532, 100
